Vmag,Plx,B-V,SpType
9.86,5.05,0.476,F7/F8V
10.21,7.12,0.483,F7/F8V
9.54,5.68,0.495,F7/F8V
8.54,9.23,0.516,F7/F8V
9.83,3.59,0.519,F7/F8V
10.16,4.45,0.53,F7/F8V
7.51,18.83,0.534,F7/F8V
7.85,19.99,0.539,F7/F8V
8.96,13.5,0.544,F7/F8V
9.28,3.79,0.559,F7/F8V
9.43,7.19,0.568,F7/F8V
8.88,13.81,0.568,F7/F8V
9.28,3.96,0.582,F7/F8V
10.14,5.62,0.585,F7/F8V
9.37,10.41,0.587,F7/F8V
9.58,4.92,0.593,F7/F8V
9.86,5.72,0.601,F7/F8V
7.88,8.55,0.615,F7/F8V
10.38,5.88,0.751,F7/F8V
10.71,1.62,0.444,F7/F8V:
9.13,8.77,0.514,F7/F8V:
9.75,7.24,0.612,F7/F8V:
10.1,3.94,0.573,F7/F8V+...
6.15,22.09,0.524,F7III
7.65,10.33,0.492,F7III/IV
5.71,20.97,0.446,F7IV
7.25,11.38,0.469,F7IV
8.18,9.48,0.487,F7IV
6.66,12.51,0.487,F7IV
9,5.7,0.5,F7IV
7,9.36,0.534,F7IV
8.33,8.07,0.554,F7IV
8.73,5.51,0.563,F7IV
9.76,3.98,0.567,F7IV
7.51,15,0.571,F7IV
7.76,19.44,0.576,F7IV
8.43,3.65,0.616,F7IV
6.67,16.33,0.518,F7IV/V
7.23,5.61,0.667,F7IV/V
6.27,23.45,0.453,F7IVsvar
6.2,23.82,0.443,F7IV-V
5.17,64.69,0.514,F7IV-V
8.29,6.31,0.4,F7V
6.88,22.39,0.448,F7V
9.97,6.6,0.46,F7V
9.03,4.2,0.461,F7V
9.81,7.69,0.469,F7V
7.92,12.43,0.483,F7V
7.83,13.06,0.483,F7V
9.78,4.89,0.487,F7V
8.85,8.89,0.488,F7V
8.88,6.96,0.491,F7V
6.44,16.69,0.492,F7V
7.28,10.73,0.493,F7V
9.08,3.71,0.495,F7V
9.41,5.11,0.495,F7V
8.16,11.86,0.495,F7V
9.55,4.76,0.497,F7V
9.97,6.1,0.5,F7V
9.33,7.56,0.5,F7V
9.32,9.58,0.5,F7V
6.34,26.14,0.5,F7V
9.56,9.59,0.502,F7V
6.89,18.19,0.502,F7V
9.1,5.76,0.503,F7V
9.09,8.34,0.503,F7V
9.07,9.23,0.503,F7V
9.38,5.79,0.505,F7V
9.73,7.46,0.506,F7V
9.14,5.36,0.508,F7V
8.38,10.15,0.508,F7V
9.42,3.94,0.51,F7V
9.87,9.02,0.51,F7V
8.81,5.71,0.512,F7V
9.04,4.36,0.515,F7V
9.48,5.79,0.515,F7V
8.07,16.11,0.517,F7V
6.32,26.59,0.517,F7V
6.68,24.12,0.519,F7V
9.54,7.37,0.52,F7V
8.85,10.52,0.52,F7V
5.98,24.21,0.52,F7V
9.11,9.37,0.521,F7V
7.94,16.94,0.522,F7V
9.61,6.01,0.523,F7V
8.17,9.04,0.523,F7V
8.2,13.95,0.525,F7V
9,5.99,0.526,F7V
9.47,6.1,0.526,F7V
9.08,8.85,0.526,F7V
8.35,6.17,0.528,F7V
6.24,26.15,0.528,F7V
9.27,5.43,0.529,F7V
9.35,7.31,0.529,F7V
9.4,3.53,0.53,F7V
8.18,16.72,0.53,F7V
8.56,10.65,0.532,F7V
8.44,7.04,0.533,F7V
9.12,3.97,0.535,F7V
9.13,9.19,0.535,F7V
8.94,6.04,0.536,F7V
8.38,12.68,0.536,F7V
9.22,5.18,0.537,F7V
8.8,10.59,0.537,F7V
9.84,5.98,0.538,F7V
8.77,6.29,0.539,F7V
7.37,21.91,0.539,F7V
9.73,6.01,0.54,F7V
9.5,6.19,0.54,F7V
9.53,7.31,0.54,F7V
8.5,6.38,0.541,F7V
8.92,8.44,0.542,F7V
9.34,8.16,0.543,F7V
9.27,9.9,0.543,F7V
8.15,16.84,0.543,F7V
8.87,10.54,0.544,F7V
8.09,16.24,0.544,F7V
8.87,3.55,0.545,F7V
7,20.28,0.545,F7V
9.58,5.76,0.546,F7V
9.32,7.66,0.546,F7V
9.11,8.29,0.546,F7V
9.04,8.98,0.546,F7V
8.76,9.45,0.546,F7V
7.94,11.39,0.546,F7V
9.36,8.38,0.547,F7V
8.56,5.61,0.548,F7V
8.99,6.21,0.548,F7V
8.41,8.63,0.548,F7V
8.81,7.5,0.549,F7V
8.54,11.65,0.551,F7V
8.51,10.69,0.553,F7V
9.02,5.98,0.555,F7V
7.97,9.02,0.556,F7V
8.51,7.73,0.559,F7V
9.01,10.94,0.56,F7V
7.85,7.57,0.561,F7V
7.98,18.41,0.562,F7V
9.28,3.33,0.563,F7V
9.61,3.62,0.563,F7V
8.97,13.64,0.564,F7V
8.43,14.55,0.564,F7V
9.73,5.78,0.566,F7V
9.05,11.66,0.566,F7V
9.22,4.49,0.568,F7V
8.98,3.54,0.569,F7V
9.97,5.66,0.577,F7V
8.53,5.93,0.577,F7V
9.84,1.22,0.579,F7V
9.5,5.93,0.579,F7V
9.37,8.68,0.581,F7V
8.31,7.07,0.584,F7V
9.26,9.95,0.584,F7V
9.36,2.79,0.586,F7V
9.63,4.65,0.586,F7V
9.39,8.3,0.593,F7V
9.63,7.15,0.594,F7V
8.37,8.86,0.595,F7V
9.48,5.3,0.6,F7V
9.92,0.33,0.632,F7V
9.23,8.23,0.633,F7V
9.82,3.7,0.692,F7V
8.07,4.95,0.87,F7V
9.93,3.5,0.522,F7V:
6.01,25.71,0.549,F7V+...
9.65,3.84,0.615,F8/G0IV/V
9.37,2.82,0.5,F8/G0V
9.71,5.46,0.52,F8/G0V
9.19,8.65,0.525,F8/G0V
10.19,5.52,0.528,F8/G0V
9.8,5.8,0.533,F8/G0V
8.69,10.38,0.537,F8/G0V
7.46,24.42,0.537,F8/G0V
9.58,8.28,0.547,F8/G0V
9.56,10.44,0.555,F8/G0V
7.85,20.82,0.556,F8/G0V
8.85,14.35,0.557,F8/G0V
9.61,9.29,0.558,F8/G0V
7.78,15.26,0.563,F8/G0V
8.28,15.37,0.571,F8/G0V
9.21,7.57,0.574,F8/G0V
9.27,11.94,0.576,F8/G0V
6.84,21.86,0.576,F8/G0V
7.88,21.66,0.579,F8/G0V
9.7,7.38,0.582,F8/G0V
8.19,8.21,0.584,F8/G0V
8.85,4.41,0.585,F8/G0V
7.17,16.15,0.587,F8/G0V
8.5,7.25,0.593,F8/G0V
8.23,17.18,0.599,F8/G0V
6.41,27.63,0.617,F8/G0V
9.7,8.82,0.624,F8/G0V
9.17,0.1,0.984,F8Iab:
7.34,6.83,0.975,F8III/IV
9.71,-0.04,0.442,F8IIIvar
9.07,8.41,0.502,F8IV
6.21,30.26,0.504,F8IV
8.82,13.43,0.537,F8IV
5.64,18.9,0.537,F8IV
8.74,6.25,0.556,F8IV
6.95,8.7,0.561,F8IV
6.88,13.77,0.561,F8IV
9.46,8.92,0.585,F8IV
8.51,9.83,0.504,F8IV/V
7.57,9.38,0.507,F8IV/V
7.97,7.59,0.578,F8IV/V
9.79,3.91,0.711,F8IV/V
10.06,3.8,0.716,F8IV/V
6.6,19.99,0.526,F8IV-V
8.04,10.74,0.53,F8IV-V
9.97,8.01,0.486,F8V
6.1,37.97,0.487,F8V
7.93,11.18,0.495,F8V
7.21,18.56,0.496,F8V
9.69,8.37,0.504,F8V
7.35,7.21,0.505,F8V
7.57,10.1,0.509,F8V
9.4,6.3,0.51,F8V
8.19,11.8,0.515,F8V
7.59,16.16,0.515,F8V
7.63,20.56,0.517,F8V
9.28,7.58,0.519,F8V
8.65,5.52,0.52,F8V
9.66,9.49,0.52,F8V
6.51,17.41,0.521,F8V
7.57,8.67,0.528,F8V
9.24,9.02,0.529,F8V
8.95,14.58,0.529,F8V
10.27,1.52,0.53,F8V
8.51,6.64,0.53,F8V
8.77,14.87,0.531,F8V
6.9,27.26,0.531,F8V
4.1,74.25,0.536,F8V
9.31,9.35,0.539,F8V
4.8,53.85,0.54,F8V
8.2,15.96,0.542,F8V
9.48,3.61,0.544,F8V
7.5,22.24,0.544,F8V
9.04,10.82,0.545,F8V
9.98,4.43,0.546,F8V
9.34,8.03,0.546,F8V
8.69,5.45,0.549,F8V
7.47,14.53,0.55,F8V
8.83,12.35,0.551,F8V
5.52,57.63,0.551,F8V
9.1,6.21,0.553,F8V
7.83,7.7,0.553,F8V
9.5,7.27,0.554,F8V
9.79,8.38,0.555,F8V
10,4.65,0.56,F8V
8.78,6.82,0.56,F8V
8.89,6.6,0.561,F8V
8.17,7.15,0.563,F8V
10.05,10.47,0.563,F8V
9.45,9.38,0.566,F8V
7.01,29.65,0.567,F8V
8.63,17.2,0.569,F8V
6.85,20.01,0.569,F8V
9.59,4.49,0.57,F8V
9.72,6.07,0.57,F8V
4.97,66.43,0.571,F8V
9.47,6.94,0.572,F8V
8.61,11.16,0.572,F8V
5.78,36.65,0.572,F8V
9.31,5.31,0.573,F8V
8.5,12.24,0.573,F8V
8.46,8.79,0.575,F8V
8.49,13.16,0.575,F8V
8.99,12.99,0.585,F8V
9.18,5.71,0.588,F8V
8.92,9.19,0.593,F8V
8.93,7.95,0.602,F8V
5.67,18.98,0.603,F8V
8.88,6.17,0.605,F8V
8.22,11.98,0.614,F8V
8.12,16.74,0.619,F8V
7.92,6.42,0.621,F8V
9.62,6.67,0.657,F8V
9.56,7.06,0.659,F8V
7.72,7.74,0.701,F8V
9.75,2.96,0.735,F8V
8.46,10.58,1.2,F8V
5.07,41.8,0.502,F8V...
5.2,47.51,0.567,F8V...
8.72,7.94,0.569,F8Vw...
10.59,-4.78,0.962,F9Ib
8.88,16.24,0.542,F9V
4.23,116.38,0.576,F9V
9.5,5.59,0.493,G:III/IV+..
8.66,32.32,0.566,G0/G1V
8.19,17.92,0.57,G0/G1V
9.05,14.5,0.589,G0/G1V
8.51,11.66,0.59,G0/G1V
8.33,10.9,0.598,G0/G1V
6.79,22.79,0.639,G0/G1V
7.54,-0.2,1.476,G0Ia
6.41,-0.17,1.081,G0Ib
7.18,1.72,1.303,G0Ib
6.24,8.08,0.68,G0III
5.57,8.09,0.697,G0III
7.87,13.64,0.556,G0IV
8.25,10.52,0.589,G0IV
7.95,9.93,0.654,G0IV
8.56,13.97,0.696,G0IV
7.97,16.31,0.552,G0IV/V
8.32,5.68,0.583,G0IV/V
8.05,9.67,0.609,G0IV/V
9.04,6.58,0.36,G0V
8.22,9.24,0.52,G0V
9.04,9.78,0.52,G0V
9.34,9.51,0.526,G0V
9.05,9.73,0.528,G0V
9.09,9.36,0.53,G0V
7.13,18.48,0.53,G0V
6.9,14.91,0.534,G0V
7.73,19.78,0.537,G0V
8.65,12.6,0.539,G0V
9.6,7.92,0.549,G0V
8.35,14.33,0.55,G0V
7.7,17.75,0.553,G0V
9.83,1.13,0.555,G0V
8.83,7.85,0.555,G0V
8.02,14.08,0.556,G0V
8.49,7.4,0.558,G0V
10.05,4.05,0.561,G0V
9.37,11.39,0.561,G0V
9.47,8.41,0.563,G0V
8.68,12.98,0.564,G0V
9.51,8.1,0.565,G0V
9.15,11.82,0.565,G0V
9.51,5.4,0.566,G0V
9.21,6.73,0.566,G0V
10.08,9.12,0.566,G0V
9.08,6.93,0.567,G0V
9.56,6.98,0.567,G0V
8.97,7.86,0.567,G0V
9.28,4.91,0.569,G0V
8.88,7.01,0.569,G0V
9.74,8.67,0.569,G0V
8.73,10.11,0.569,G0V
8.9,8.46,0.57,G0V
9.11,11.82,0.571,G0V
9.2,8.8,0.573,G0V
8.97,8.47,0.574,G0V
9.57,8.88,0.576,G0V
8.98,6.59,0.577,G0V
7.53,23.9,0.577,G0V
9.01,9.22,0.582,G0V
9.85,7.81,0.583,G0V
8.76,13.44,0.584,G0V
8.57,13.66,0.584,G0V
6.7,19.67,0.584,G0V
9.63,7.02,0.586,G0V
8.62,11.34,0.587,G0V
9.43,10.6,0.588,G0V
8.77,14.61,0.59,G0V
8.83,14.72,0.59,G0V
8.36,16.71,0.591,G0V
7.7,20.35,0.591,G0V
8.14,14.25,0.593,G0V
7.17,27.36,0.593,G0V
7.51,24.85,0.595,G0V
10.14,9.09,0.596,G0V
9.78,1.11,0.598,G0V
8.49,7.54,0.6,G0V
7.91,15.85,0.601,G0V
9.57,9.22,0.602,G0V
9.26,4.79,0.604,G0V
9.13,8.85,0.606,G0V
7.35,14.29,0.606,G0V
7.81,15.02,0.607,G0V
7.51,18.58,0.607,G0V
8.52,12.13,0.608,G0V
9.89,7.72,0.609,G0V
8.92,12.57,0.609,G0V
7.37,9.56,0.611,G0V
8.49,9.73,0.614,G0V
9.26,6.03,0.616,G0V
8.8,13.31,0.618,G0V
8.3,14.6,0.619,G0V
7.72,18.22,0.62,G0V
7.32,23.18,0.622,G0V
7.01,14.04,0.625,G0V
9.94,5.79,0.626,G0V
8.85,4.32,0.63,G0V
10.01,7.07,0.635,G0V
8.81,6.91,0.64,G0V
9.35,4.95,0.67,G0V
6.47,42.67,0.674,G0V
9.1,5.76,0.682,G0V
8.97,5.34,1.3,G0V
3.46,167.99,0.587,G0V SB
7.78,20.49,0.641,G1/G2IV/V
8.25,10.71,0.571,G1/G2V
9.07,9.45,0.586,G1/G2V
8.69,13.03,0.586,G1/G2V
8.57,12.92,0.589,G1/G2V
8.51,14.28,0.609,G1/G2V
8.71,13.15,0.614,G1/G2V
8.93,7.55,0.618,G1/G2V
8.4,10.48,0.627,G1/G2V
6.91,22.23,0.65,G1/G2V
8.86,2.32,1.096,G1Ibvar
8.02,17.12,0.667,G1III
6.49,16.89,0.616,G1IV
7.43,10.97,0.621,G1IV
9.22,4.29,0.627,G1IV
8.33,11.64,0.682,G1IV
5.7,39,0.519,G1IV...
9.81,2.91,0.54,G1V
8.69,11.97,0.544,G1V
9.46,9.9,0.546,G1V
9.15,9.26,0.551,G1V
9.72,9.92,0.557,G1V
5.89,39.26,0.564,G1V
10.11,7.4,0.566,G1V
9,10.61,0.566,G1V
8.79,13.49,0.566,G1V
9.31,9.26,0.567,G1V
9.21,6.61,0.571,G1V
8.9,4.7,0.576,G1V
9.9,-6.82,0.577,G1V
9.13,7.48,0.577,G1V
9.38,11.99,0.578,G1V
8.27,13.78,0.58,G1V
9.26,12.39,0.589,G1V
7.48,24.65,0.589,G1V
8.87,8.72,0.592,G1V
8.47,13.16,0.592,G1V
7.14,19.09,0.593,G1V
8.75,14.55,0.594,G1V
8.28,8.97,0.596,G1V
8.78,13.4,0.602,G1V
8.82,15.28,0.602,G1V
9.39,7.99,0.605,G1V
9.72,4.42,0.608,G1V
7.27,13.56,0.609,G1V
9.27,6.92,0.61,G1V
9.42,8.96,0.61,G1V
8.79,9.83,0.611,G1V
8.19,17.47,0.611,G1V
9.14,10.8,0.612,G1V
8.85,8.31,0.618,G1V
8.46,15.3,0.619,G1V
7.78,26.79,0.621,G1V
9.42,4.32,0.623,G1V
8.35,8.11,0.624,G1V
9.19,8.06,0.626,G1V
8.93,10.74,0.628,G1V
10.02,4.88,0.629,G1V
9.52,8.41,0.629,G1V
7.33,25.39,0.629,G1V
7.4,13.41,0.631,G1V
9.31,6.21,0.655,G1V
9.36,5.32,0.662,G1V
9.65,4.53,0.67,G1V
7.56,13.5,0.676,G1V
9.16,2.99,1.06,G1V
6.24,9.58,0.98,G1V...
9.23,13.42,0.557,G1Vw...
7.61,11.6,0.678,G2/5V + F0
7.86,10.41,0.651,G2/G3IV
9,11.13,0.656,G2/G3IV/V
10.08,3.11,0.533,G2/G3V
9.39,7.04,0.552,G2/G3V
9.59,8.27,0.562,G2/G3V
9.73,9,0.571,G2/G3V
8.75,14.9,0.576,G2/G3V
9.56,8.35,0.577,G2/G3V
9.83,2.3,0.587,G2/G3V
9.44,11.08,0.592,G2/G3V
8.32,18.8,0.595,G2/G3V
9.39,13.01,0.605,G2/G3V
8.93,9.88,0.607,G2/G3V
9.45,4.58,0.615,G2/G3V
9.09,14.06,0.617,G2/G3V
7.45,20.45,0.617,G2/G3V
9.87,8.07,0.623,G2/G3V
7.04,36.18,0.624,G2/G3V
9.43,11.22,0.634,G2/G3V
8.37,7.77,0.636,G2/G3V
8.93,11.52,0.64,G2/G3V
9.67,11.43,0.641,G2/G3V
9.94,5.79,0.642,G2/G3V
8.09,16.1,0.645,G2/G3V
9.5,5.41,0.646,G2/G3V
6.82,-0.52,1.151,G2Ib
8.36,3.28,1.4,G2II
7.07,19.28,0.644,G2III
9.44,1.82,0.984,G2III
5.89,32.18,0.61,G2IV
2.82,133.78,0.618,G2IV
5.75,33.71,0.639,G2IV
7.35,11.35,0.681,G2IV
7.4,14.66,0.551,G2IV/V
9.69,8.25,0.626,G2IV/V
8.99,10.03,0.647,G2IV/V
7.9,5.26,0.744,G2IV/V
9.6,6.46,0.5,G2V
9.91,3.85,0.515,G2V
9.93,4.25,0.539,G2V
9.79,10.73,0.545,G2V
9.96,5.97,0.563,G2V
8.4,15.59,0.566,G2V
8.86,10.31,0.575,G2V
8.92,13.53,0.578,G2V
9.46,2.1,0.58,G2V
9.68,8.45,0.585,G2V
9.06,11.76,0.586,G2V
9.44,4.91,0.587,G2V
9.58,6.86,0.587,G2V
8.68,7.95,0.588,G2V
8.41,16.24,0.588,G2V
8.32,9.71,0.591,G2V
9.03,16.64,0.592,G2V
9.51,11.73,0.595,G2V
8.9,14.91,0.596,G2V
6.51,38.24,0.599,G2V
8.74,11.1,0.601,G2V
6.15,31.39,0.603,G2V
8.12,12.57,0.607,G2V
8.96,5.2,0.611,G2V
8.6,16.82,0.612,G2V
8.59,14.36,0.616,G2V
7.57,20.45,0.616,G2V
8.99,10.95,0.617,G2V
4.96,79.09,0.618,G2V
5.88,36.86,0.62,G2V
7.65,25.59,0.622,G2V
7.76,11.64,0.624,G2V
6.88,27.04,0.624,G2V
8.95,8.88,0.625,G2V
7.59,25.15,0.626,G2V
8.73,11.33,0.627,G2V
9.46,7.58,0.631,G2V
6.09,27.18,0.632,G2V
7.34,21.79,0.633,G2V
10.02,7.3,0.634,G2V
8.93,7.81,0.635,G2V
9.19,6.09,0.636,G2V
9.16,8.84,0.638,G2V
10.23,3.89,0.642,G2V
8.74,5.79,0.65,G2V
9.27,11.26,0.652,G2V
6.84,43.45,0.655,G2V
9.46,8.9,0.656,G2V
9.09,5.56,0.659,G2V
6.89,43.14,0.662,G2V
8.63,9.66,0.663,G2V
9.03,3.53,0.664,G2V
9.4,6.47,0.666,G2V
9.48,6.54,0.67,G2V
9.12,8.27,0.672,G2V
8.81,9.75,0.679,G2V
7.94,13.78,0.824,G2V
7.96,18.93,0.672,G2V comp SB
8.26,4.64,0.96,G2V SB
9.69,7.74,0.72,G2V:
8.86,14.08,0.552,G2Vw...
8.51,10.6,0.623,G3/G5II
8.78,0.16,1.137,G3/G5III
9.09,17.09,0.639,G3/G5III/IV
9.78,7.87,0.771,G3/G5III:
8.35,5.93,0.824,G3/G5IV
9.26,11.01,0.675,G3/G5IV/V
9.78,9.26,0.617,G3/G5V
9.55,10.79,0.622,G3/G5V
10.21,4.21,0.628,G3/G5V
8.68,17.32,0.638,G3/G5V
9.65,8.98,0.641,G3/G5V
10.05,9.1,0.643,G3/G5V
8.73,9.29,0.646,G3/G5V
9.28,8.41,0.651,G3/G5V
9.14,14.22,0.651,G3/G5V
8.07,23.61,0.651,G3/G5V
7.84,14.21,0.654,G3/G5V
9.78,5.84,0.657,G3/G5V
9.77,6.94,0.657,G3/G5V
9.59,9.8,0.659,G3/G5V
9.8,4.4,0.669,G3/G5V
8.97,10.63,0.671,G3/G5V
9.82,9.24,0.687,G3/G5V
6.14,35.02,0.718,G3/G5V
8.8,6.35,0.725,G3/G5V
9.77,8.41,0.73,G3/G5V
9.25,-1.02,1.021,G3/G5V
8.85,7.79,0.631,G3:V: + G2:
6.41,2.17,0.998,G3II
6.96,2.73,0.788,G3II/III
8.62,8.05,0.749,G3III
8.66,2.38,0.79,G3III
7.17,3.81,0.823,G3III
8.13,1.84,0.928,G3III
9.09,2.91,0.9,G3III:
6.81,28.91,0.596,G3IV
7.72,24.8,0.613,G3IV
8.81,8.31,0.67,G3IV
8.81,14.84,0.708,G3IV
8.89,9.62,0.734,G3IV
8.42,5.62,0.74,G3IV
6.28,13.74,0.763,G3IV
6.11,7.4,0.97,G3IV
9.74,9.04,0.626,G3IV/V
9.31,4.8,0.635,G3IV/V
8.72,7.61,0.7,G3IV/V
7.88,5.3,0.72,G3IV/V
9.87,6.12,0.383,G3V
8.44,6.18,0.449,G3V
9.06,1.28,0.57,G3V
8.69,8.41,0.575,G3V
8.27,12.5,0.577,G3V
9.11,17.37,0.577,G3V
9.8,5.93,0.586,G3V
9.91,11,0.594,G3V
6.44,31.01,0.594,G3V
8.97,6.48,0.595,G3V
9.19,7.22,0.596,G3V
9.59,8.61,0.598,G3V
9.02,16.48,0.599,G3V
9.54,8.02,0.6,G3V
8.76,18.13,0.602,G3V
9.31,12.96,0.603,G3V
9.37,14.45,0.603,G3V
8.61,11.96,0.607,G3V
8.97,8.71,0.609,G3V
9.26,7.5,0.61,G3V
9.56,9.64,0.61,G3V
8.06,12.05,0.612,G3V
8.51,11.77,0.613,G3V
9.73,4.83,0.616,G3V
9.32,11.55,0.618,G3V
8.96,11.64,0.62,G3V
9.81,7.09,0.622,G3V
8.78,12.54,0.623,G3V
9.38,5.8,0.624,G3V
9.32,3.89,0.625,G3V
9.58,12.22,0.625,G3V
9.36,6.94,0.626,G3V
6.96,39.07,0.627,G3V
9.46,5.31,0.628,G3V
9.41,11.37,0.629,G3V
9.4,7.41,0.631,G3V
9.67,13.05,0.633,G3V
8.11,17.29,0.635,G3V
9.1,6.03,0.638,G3V
8.24,13.76,0.638,G3V
9.36,13.75,0.64,G3V
8.51,14.57,0.64,G3V
8.27,8.82,0.641,G3V
9.05,10.89,0.641,G3V
9.92,1.45,0.643,G3V
8.57,13.92,0.644,G3V
8.55,8.32,0.645,G3V
9.29,8.5,0.645,G3V
9.34,9.42,0.645,G3V
8.25,20.84,0.646,G3V
8.89,8.17,0.647,G3V
9.46,3.73,0.648,G3V
9.52,6.93,0.651,G3V
9.1,8.02,0.651,G3V
9.34,10.33,0.651,G3V
9.85,4.39,0.652,G3V
7.37,28.54,0.653,G3V
6.55,45.76,0.655,G3V
8.01,12.39,0.657,G3V
9.18,13.85,0.657,G3V
8.71,19.4,0.657,G3V
8.65,6.33,0.658,G3V
6.39,49.05,0.659,G3V
8.86,9.46,0.66,G3V
7.94,13.8,0.66,G3V
9.42,10.02,0.661,G3V
8.16,13.48,0.661,G3V
8.12,18.95,0.661,G3V
9.21,12.92,0.662,G3V
9.2,11.52,0.665,G3V
8.6,3.9,0.666,G3V
9.12,8.1,0.666,G3V
9.25,13.63,0.666,G3V
9.19,13.96,0.666,G3V
9.31,11.58,0.667,G3V
9.26,6.75,0.671,G3V
9.27,7.87,0.673,G3V
7.9,13.71,0.673,G3V
8.97,11.56,0.674,G3V
8.94,5.12,0.676,G3V
9.12,11.7,0.676,G3V
9.56,5.64,0.679,G3V
8.46,22.07,0.679,G3V
9.07,10.93,0.68,G3V
9.47,7.45,0.685,G3V
8.52,16.26,0.687,G3V
8.88,7.88,0.689,G3V
5.8,80.63,0.69,G3V
8.55,4.38,0.692,G3V
9.41,7.62,0.692,G3V
7.3,20.34,0.694,G3V
9.25,8.33,0.698,G3V
8.26,10.86,0.7,G3V
8.87,18.19,0.702,G3V
9.97,6.87,0.706,G3V
8.34,8.29,0.71,G3V
9.6,9.55,0.712,G3V
9.72,3.88,0.724,G3V
9.74,5.61,0.737,G3V
9.69,7.73,0.748,G3V
7.65,1.89,0.785,G3V
9.5,6.12,0.569,G3V:
9.94,7.28,0.596,G3V:
7.18,4.53,0.894,G4III
7.47,5.53,0.94,G4III
7.61,4.53,0.968,G4III
8.02,4.4,0.97,G4III
6.32,7,0.738,G4IV...
8.34,17,0.619,G4V
7.13,22.16,0.637,G4V
8.26,1.69,1.052,G4V:p
8.11,2.3,0.89,G5/G6III
9.24,2.36,0.983,G5/G6III/IV
7.92,13,0.728,G5/G6IV
9.82,11.6,0.677,G5/G6IV/V
9.08,13.15,0.705,G5/G6IV/V
9.99,7.92,0.646,G5/G6V
7.57,34.73,0.702,G5/G6V
9.07,17.5,0.734,G5/G6V
10.05,6.88,0.75,G5/G6V
9.49,6.82,0.757,G5/G6V
9.44,11.64,0.76,G5/G6V
9.4,2.45,0.9,G5/G6V
9.97,13.82,0.709,G5/G6V:
9.57,3.2,0.667,G5/G6V:w
7.53,-0.72,1.677,G5Ia
8.06,2.79,1.03,G5II
5.55,2.86,1.388,G5II
9.02,8.08,0.661,G5III
8.03,16.81,0.725,G5III
9.06,3.25,0.834,G5III
8.36,2.62,0.836,G5III
9.39,3.21,0.852,G5III
5.77,5.5,0.855,G5III
9.34,3.04,0.856,G5III
6.71,4.45,0.879,G5III
5.36,11.68,0.884,G5III
5.45,3.19,0.886,G5III
7.84,3.27,0.896,G5III
8.43,3.34,0.9,G5III
5.55,8.75,0.901,G5III
6.28,7.03,0.916,G5III
8.45,5.05,0.927,G5III
4.68,15.04,0.931,G5III
8.57,2.61,0.934,G5III
7.74,5.04,1.114,G5III
8.08,-1.59,1.127,G5III
8.38,0.75,1.48,G5III
4.34,19.34,0.871,G5III...
6.31,8.6,0.912,G5III...
7.88,0.58,0.83,G5III/IV
7.15,8.03,0.866,G5III:+...
5.42,12.74,0.888,G5III-IVe
8.6,2.45,0.741,G5IIIm
7.52,5.62,0.842,G5IIIp
7.72,2.11,0.747,G5IIIwe
5.8,66.92,0.635,G5IV
6.6,46.73,0.69,G5IV
6.27,30.71,0.72,G5IV
7.66,20.44,0.741,G5IV
7.86,10.58,0.759,G5IV
10.25,16.28,0.764,G5IV
8.27,8.17,0.795,G5IV
9.08,4.73,0.798,G5IV
3.69,57.19,0.844,G5IV
6.15,8.6,0.911,G5IV
8.01,16.99,0.656,G5IV/V
9.78,9.21,0.704,G5IV/V
8.73,7.96,0.743,G5IV/V
9.22,9.53,0.745,G5IV/V
7.62,17.21,0.758,G5IV/V
9.34,6.37,0.771,G5IV/V
8.72,7.62,0.797,G5IV/V
9.15,5.25,0.818,G5IV/V
7.96,27.32,0.651,G5IV-V
9.72,3.69,0.1,G5V
8.52,16.88,0.572,G5V
9.4,9.99,0.598,G5V
9.83,10.07,0.618,G5V
8.23,16.58,0.626,G5V
9.09,6.24,0.631,G5V
9.31,10.55,0.632,G5V
8.65,15.8,0.637,G5V
7.42,20.23,0.64,G5V
8.69,17.16,0.642,G5V
9.38,7.63,0.643,G5V
9.67,13.71,0.643,G5V
9.27,7.71,0.645,G5V
8.67,14.68,0.647,G5V
8.53,15.24,0.647,G5V
6.77,38.86,0.648,G5V
9.79,9.47,0.649,G5V
9.13,12.93,0.652,G5V
9.35,13.79,0.655,G5V
9.34,15.19,0.655,G5V
8.37,20.73,0.656,G5V
7.92,27,0.656,G5V
9.29,7.89,0.657,G5V
8.89,15.89,0.658,G5V
9.56,14.86,0.66,G5V
7.99,22.8,0.66,G5V
9.37,10.37,0.662,G5V
9.12,12.28,0.662,G5V
9.51,11.25,0.663,G5V
7.93,20.46,0.664,G5V
7.78,30.58,0.664,G5V
8.76,13.63,0.666,G5V
8.82,18.57,0.666,G5V
9.48,5.55,0.668,G5V
9.08,11.08,0.669,G5V
9.97,8.3,0.671,G5V
9.32,9.66,0.671,G5V
8.9,12.93,0.671,G5V
9.26,11.01,0.672,G5V
8.8,20.21,0.672,G5V
9.32,8.87,0.673,G5V
8.9,10.19,0.675,G5V
8.93,16.39,0.677,G5V
7.88,25.89,0.677,G5V
9.47,12.6,0.678,G5V
8.35,18.92,0.68,G5V
9.25,10.03,0.681,G5V
9.66,14.15,0.684,G5V
8.68,20.85,0.684,G5V
9.16,6.07,0.685,G5V
5.98,49.3,0.687,G5V
